word,creole_word,creole_name,latlon,acrolect
apprenticeship program,pwogram aprantisaj,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
approach,v aproche,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
approve,aprouve,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
approximate,adj aproksimatif,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
apricot,abiko,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
April,avril,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
apt,"jis, aptopriye",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
archbishop,monsenyè,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
argue,"diskite, mentni",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
arise,"pete, gaye, provni, plede",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
arm,n bra,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
armchair,"fotèy, dodin",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
around,"alantou, otou, anviron",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
arouse,"reveye, eksite",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
arrange,"ranje, òganize",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
array,etalaj,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
arrest,arestasyon,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
arrive,rive,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
arrogant,arogan,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
arrow,flèch,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
art,"ar, la",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
artful,"rize, koken",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
article,atik,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
artificial,artifisyèl,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
artistic,atistik,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
as,"tankou, otan, kom, menm ak",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
as for,ala,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
as long as,tank,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
as soon as possible,le pli vit ke posib,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
as that,kon sa,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
ascend,monte,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
ascertain,"tcheke, rann kont",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
ashamed,ront,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
ashtray,sandriye,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
aside,"akote, sou kote",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
ask,mande,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
askew,krochi,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
asleep,nan dòmi,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
aspect,aspè,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
asphalt,asfalt,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
ass,"bourik(donkey), dèyè(rear),",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
bounda(buttock,butt),Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
assail,"asayi, atake",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
assembly,asanble,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
assert,revandike,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
assign,"deziyen, anchaje",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
assist,"ede, segonde",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
assistance,asistans,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
associate,v . asosye,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
assume,sipoze,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
assure,asire,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
asterick,asteris*,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
astonish,"etone, siprann",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
astound,"fè sote, pantan",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
astute,rize,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
asunder,kase ande,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
asylum,azil,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
at,a,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
athwart,antravè,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
atomic,atomik,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
atrocious,atròs,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
attach,"tache, kole",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
attack,atake,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
attain,"atenn, rive",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
attainment,reyalizasyon,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
attempt,"n esè, tantataif",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
attention,n atansyon,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
attest,ateste,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
attitude,atitud,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
attribute,n kalite,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
audit,verifye,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
audience,odiyans,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
August,out,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
aunt,"tant, matant",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
auspicious,favorab,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
austere,"distan, endiferan",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
authentic Creole,Kreyòl natif natal,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
author,"otè, lotè, ekriven",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
authority,otorite,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
authorization,otorizasyon,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
automobile,oto,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
autumn,lotòn,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
available,disponib,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
avaricious,"oeng, kripya, ava",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
avenge,vanje,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
avenue,avnu,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
average,mwayèn,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
avert,"evite, detounen",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
avid,"avid, grangou",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
avocado,zaboka,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
avoid,evite,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
avouch,avalide,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
awake,adj reveye,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
award,prim,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
